"Crude.Oil"	"Rapeseed"	"Biodiesel"
"2010-05-21"	0.16708262897669	0.0232524158535696	0.0643837809034169
"2010-05-28"	0.198621370102372	0.0359332556882741	0.0623095237171434
"2010-06-04"	0.183662403332999	0.036073767199003	0.0655368364483868
"2010-06-11"	0.214117092097663	0.0531090493967739	0.0569486734138414
"2010-06-18"	0.225491015354295	0.0874124264961047	0.0576349683495918
"2010-06-25"	0.224796999566047	0.114168447067699	0.058107604734662
"2010-07-02"	0.123405057162921	0.092859563473989	0.0544104023708289
"2010-07-09"	0.154122824082369	0.154806563762533	0.0492328979575936
"2010-07-16"	0.129598004338651	0.209177682382818	0.0620136190051346
"2010-07-23"	0.157087129193455	0.220221228598404	0.0495944455574184
"2010-07-30"	0.158276754942942	0.229865175704643	0.0476819571571134
"2010-08-06"	0.165384719204722	0.242120878804007	0.0569579415732671
"2010-08-13"	0.133854447601116	0.242545380413557	0.0566467899760115
"2010-08-20"	0.13569904703196	0.234389456798643	0.0572891738076091
"2010-08-27"	0.179952327235748	0.230461322367063	0.0548865104455629
"2010-09-03"	0.178217463535247	0.237568705344868	0.0541926922554588
"2010-09-10"	0.216920136925948	0.252065275756188	0.0596321257526764
"2010-09-17"	0.190382968092586	0.26207061381935	0.0614513835725452
