"Date"	"Crude.Oil"	"Rapeseed"	"Biodiesel"
"422"	2011-06-17	502.0526342	770.439637447046	1382.9
"423"	2011-06-24	472.364731	741.485646960797	1379.43
"424"	2011-07-01	481.4849555	739.125300676881	1340.7
"425"	2011-07-08	521.1736566	778.104703020596	1359.73
"426"	2011-07-15	527.0231799	767.165548388129	1359.23
"427"	2011-07-22	520.796268	762.63720941427	1359.83
"428"	2011-07-29	511.9276359	759.352137392485	1353.05
"429"	2011-08-05	486.831294	712.454921793166	1342.85
"430"	2011-08-12	477.8368657	701.541545288667	1347.95
"431"	2011-08-19	483.2461023	705.693560985907	1350.43
"432"	2011-08-26	492.7437154	713.733496584656	1368.83
"433"	2011-09-02	508.845629	744.78875390758	1373.2
"434"	2011-09-09	525.0733388	761.129245732635	1371.5
"435"	2011-09-16	532.1808241	747.076618805137	1365.9
"436"	2011-09-23	507.5247689	735.839736164696	1372.22
"437"	2011-09-30	496.9578881	719.608228231744	1359.8
"438"	2011-10-07	502.8703095	719.169930635101	1354.28
"439"	2011-10-14	528.7214286	727.547544035357	1371.48
"440"	2011-10-21	505.3862335	726.671433359069	1324.28
"441"	2011-10-28	494.4419641	752.735756589145	1345.15
"442"	2011-11-04	516.6449934	741.924381316635	1359.25
"443"	2011-11-11	525.5136255	728.347117985377	1342.38
"444"	2011-11-18	505.9523164	716.44832633416	1358.63
"445"	2011-11-25	509.7891005	698.00069440508	1364.48
"446"	2011-12-02	522.4945167	705.78979083898	1342.15
"447"	2011-12-09	514.8209485	717.548758964778	1355.55
"448"	2011-12-16	507.587667	711.339952359405	1361.33
"449"	2011-12-23	531.1115564	732.669771846283	1374.8
"450"	2011-12-30	527.4634666	740.607694062646	1372.54517260764
"451"	2012-01-06	563.2524855	762.52656443499	1369.85
"452"	2012-01-13	552.245318	756.370424139732	1382.93
"453"	2012-01-20	534.4451557	750.872357607957	1387.08
"454"	2012-01-27	530.2938811	776.671240157074	1392.2
"455"	2012-02-03	551.616337	778.708953054899	1388.88
"456"	2012-02-10	566.2086962	771.667647205464	1392.38
"457"	2012-02-17	587.468254	784.262972608527	1395.43
"458"	2012-02-24	598.4754215	771.994942371542	1408.68
"459"	2012-03-02	598.8528101	799.144386594879	1401.75
"460"	2012-03-09	612.8790864	802.443604777464	1398.2
"461"	2012-03-16	609.1680985	822.317982772931	1397.15
"462"	2012-03-23	601.1171417	819.258228105982	1399.43
"463"	2012-03-30	589.1036046	826.663304997704	1395.4
"464"	2012-04-06	596.7771728	847.66612452251	1399.08
"465"	2012-04-13	586.9021711	829.801983699022	1419.43
"466"	2012-04-20	563.7556703	838.508653148299	1406.77
"467"	2012-04-27	571.8695252	835.481616069865	1426.4
